LV1,LV2
Revenue,gp_rev
Other trading income,gp_rev
Cost of sales,gp_cos
Other direct costs,gp_cos
Other operating income,op_rev
Finance income,op_rev
Share of post-tax profits of equity associates,op_rev
Share of post-tax profits of equity joint ventures,op_rev
Administrative expenses,op_cos
Distribution expenses,op_cos
Other expenses,op_cos
Finance expense,op_cos
Tax expense,pbt_cos
Changes in inventories of finished goods and work in progress,gp_cos
Raw materials and consumables used,gp_cos
Employee benefit expenses,op_cos
Depreciation and amortisation expense,op_cos
Research and development,op_cos
Loss on property revaluation,pat_cos
Remeasurements of defined benefit pension schemes,pat_cos
Share of associates' other,pat_cos
Exchange gains arising on translation of foreign operations,op_cos
Inventories,ca
Trade and other receivables,ca
Available-for-sale investments,ca
Derivative financial assets,ca
Current tax assets,ca
Other assets,ca
Cash and cash equivalents,ca
Assets in disposal groups classified as held for sale,ca
Finance lease receiveable,ca
Property plant and equipment,nca
Investment property,nca
Goodwill,nca
Other intangible assets,nca
Finance lease receiveable,nca
Other financial assets,nca
Other assets,nca
Investments in equity-accounted associates,nca
Investments in equity-accounted joint ventures,nca
Available-for-sale investments more than 1 year,nca
Derivative financial assets more than 1 year,nca
Other receivables,ca
Deferred tax assets,ca
Trade and other payables,cl
Loans and borrowings,cl
Derivative financial liabilities,cl
Income Tax Payable,cl
Employee benefit liabilities,cl
Provisions,cl
Liabilities directly associated with assets in HFS,cl
Loans and borrowings more than 1 year,ncl
Derivative financial liabilities more than 1 year,ncl
Employee benefit liabilities more than 1 year,ncl
Provisions ,ncl
Deferred tax liability,ncl
Other financial liabilities,ncl
Deferred revenue,ncl
Other liabilities,ncl
Revaluation reserve,eq
Available-for-sale reserve,eq
Cash flow hedging reserve,eq
Foreign exchange reserve,eq
Issued capital and share premium,eq
Other reserves,eq
Retained earnings,eq
Equity attributable to parent,eq
Non-controlling interest,eq
Share capital,eq
Share premium reserve,eq
Shares to be issued,eq
No-Mapping,eq
