accounting date,amount,description,mi_tag,monea_tag
1/5/2015,4696.690611,Receipt from customer 1,CUST_001,Sales
1/5/2015,9667.011797,Receipt from customer 2,CUST_002,Sales
1/5/2015,8734.446753,Receipt from customer 3,CUST_003,Trade debtors
1/5/2015,6169.377489,Receipt from customer 18,CUST_018,Trade debtors
1/5/2015,3258.82416,Receipt from customer 22,CUST_022,Trade debtors
1/5/2015,8620.937626,Receipt from customer 23,CUST_023,Sales
1/5/2015,8440.046494,Loan from bank,Bank loans cash in,Bank loans
1/5/2015,5108.680704,vat received,VAT cash in,VAT
1/5/2015,8396.286085,Loan from bank,Bank loans cash in,Bank loans
1/5/2015,4342.621454,vat received,VAT cash in,VAT
1/5/2015,66.2970614,Loan from bank,Bank loans cash in,Bank loans
1/5/2015,3558.527162,Loan from bank,Bank loans cash in,Bank loans
1/5/2015,5000.040251,vat received,VAT cash in,VAT
1/5/2015,7723.094226,Loan from bank,Bank loans cash in,Bank loans
1/5/2015,5475.699775,Loan from bank,Bank loans cash in,Bank loans
1/5/2015,6731.486682,Loan from bank,Bank loans cash in,Bank loans
1/5/2015,5736.67437,Loan from bank,Bank loans cash in,Bank loans
2/5/2015,9232.356471,Loan from bank,Bank loans cash in,Bank loans
2/5/2015,226.9698311,Receipt from customer 1,CUST_001,Sales
2/5/2015,8887.282833,Receipt from customer 2,CUST_002,Sales
2/5/2015,8318.663454,Receipt from customer 3,CUST_003,Trade debtors
2/5/2015,5855.095054,Receipt from customer 4,CUST_004,Trade debtors
2/5/2015,8897.98546,Receipt from customer 8,CUST_008,Trade debtors
2/5/2015,5821.217779,Receipt from customer 11,CUST_011,Trade debtors
2/5/2015,9613.87276,Receipt from customer 12,CUST_012,Trade debtors
2/5/2015,8576.442998,Receipt from customer 13,CUST_013,Trade debtors
2/5/2015,5937.09231,Receipt from customer 14,CUST_014,Trade debtors
3/5/2015,5612.795346,Receipt from customer 22,CUST_022,Trade debtors
3/5/2015,6270.613418,Receipt from customer 23,CUST_023,Sales
3/5/2015,8415.711112,Receipt from customer 1,CUST_001,Sales
3/5/2015,1979.724144,Receipt from customer 2,CUST_002,Sales
3/5/2015,6968.405256,Receipt from customer 3,CUST_003,Trade debtors
3/5/2015,2672.686877,Receipt from customer 4,CUST_004,Trade debtors
3/5/2015,2357.579107,Receipt from customer 9,CUST_009,Trade debtors
3/5/2015,1396.547203,Receipt from customer 10,CUST_010,Trade debtors
3/5/2015,8476.394292,Receipt from customer 11,CUST_011,Trade debtors
3/5/2015,1666.780046,Receipt from customer 20,CUST_020,Trade debtors
3/5/2015,7340.268248,Receipt from customer 21,CUST_021,Trade debtors
3/5/2015,2252.399516,Receipt from customer 22,CUST_022,Trade debtors
3/5/2015,8797.216096,Receipt from customer 23,CUST_023,Sales
3/5/2015,9125.308103,Receipt from customer 1,CUST_001,Sales
3/5/2015,8564.509307,Receipt from customer 2,CUST_002,Sales
3/5/2015,8107.081478,Receipt from customer 3,CUST_003,Trade debtors
3/5/2015,5104.740216,Receipt from customer 4,CUST_004,Trade debtors
1/6/2015,6484.365836,Receipt from customer 5,CUST_005,Trade debtors
1/6/2015,7042.276884,Receipt from customer 9,CUST_009,Trade debtors
1/6/2015,8072.37121,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,4404.717699,vat received,VAT cash in,VAT
1/6/2015,9738.28478,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,6044.35378,vat received,VAT cash in,VAT
1/6/2015,4305.564793,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,9022.192738,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,4176.18244,vat received,VAT cash in,VAT
1/6/2015,9785.337489,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,2930.149355,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,5820.494384,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,5500.726306,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,6683.887904,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,3556.922406,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,1890.035147,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,4824.510834,Loan from bank,Bank loans cash in,Bank loans
1/6/2015,1438.034573,Receipt from customer 6,CUST_006,Trade debtors
1/6/2015,5697.451358,Receipt from customer 7,CUST_007,Trade debtors
1/6/2015,8245.111789,Receipt from customer 8,CUST_008,Trade debtors
1/6/2015,5858.632287,Receipt from customer 9,CUST_009,Trade debtors
1/6/2015,3912.35583,Receipt from customer 13,CUST_013,Trade debtors
1/6/2015,8644.410318,Receipt from customer 14,CUST_014,Trade debtors
1/6/2015,8527.952356,Receipt from customer 15,CUST_015,Trade debtors
1/6/2015,4689.67045,Receipt from customer 16,CUST_016,Trade debtors
1/6/2015,2394.261418,Receipt from customer 17,CUST_017,Trade debtors
1/6/2015,7733.856044,Receipt from customer 18,CUST_018,Trade debtors
1/6/2015,9097.826001,Receipt from customer 19,CUST_019,Trade debtors
2/6/2015,9558.744802,Receipt from customer 23,CUST_023,Sales
2/6/2015,3051.264791,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,3043.091793,vat received,VAT cash in,VAT
2/6/2015,4028.185662,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,956.0867289,vat received,VAT cash in,VAT
2/6/2015,1728.604247,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,2045.758776,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,7771.722442,vat received,VAT cash in,VAT
2/6/2015,4647.692902,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,3635.863045,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,5861.543565,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,732.0029433,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,7655.262134,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,2531.883471,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,5603.006687,Loan from bank,Bank loans cash in,Bank loans
