reporting month,TB code,amount,description,mi_tag,ifrstag
31/12/2014,00001,4696.690611,Opening Balances co 1,Fixtures and Fittings - cost,"Property, plant and equipment"
29/12/2014,00002,9667.011797,Opening Balances co 1,Fixtures and Fittings - additions,"Property, plant and equipment"
31/12/2014,00003,8734.446753,Opening Balances co 1,Fixtures and Fittings - acc depn,"Property, plant and equipment"
29/12/2014,00004,2146.316367,Opening Balances co 1,Fixtures and Fittings - depn charge,"Property, plant and equipment"
29/12/2014,00005,1602.438244,Opening Balances co 1,Debtors Control Account,Trade and other receivables
29/12/2014,00006,6721.907283,Opening Balances co 1,Prepayments,Other assets
29/12/2014,00007,1084.277692,Opening Balances co 1,Current account,Cash and cash equivalents
29/12/2014,00008,6061.321027,Opening Balances co 1,Savings account,Cash and cash equivalents
29/12/2014,00009,5948.039832,Opening Balances co 1,Petty Cash,Cash and cash equivalents
29/12/2014,00010,1068.794228,Opening Balances co 1,Creditors Control Account,Trade and other payables
29/12/2014,00011,5767.645916,Opening Balances co 1,Accruals & other creditors,Other liabilities
31/12/2014,00012,6975.98303,Opening Balances co 1,Directors loan,Other liabilities
31/12/2014,00013,2981.57352,Opening Balances co 1,Output VAT,Other liabilities
31/12/2014,00014,566.5755648,Opening Balances co 1,Input VAT,Other liabilities
31/12/2014,00015,6464.662154,Opening Balances co 1,VAT Control,Other liabilities
31/12/2014,00016,6985.126243,Opening Balances co 1,CT liability,Income Tax Payable
31/12/2014,00017,1740.605874,Opening Balances co 1,Dividend Paid,Other liabilities
31/12/2014,00018,6169.377489,Opening Balances co 1,Share capital,Share capital
31/12/2014,00019,7476.776825,Opening Balances co 1,PnL CY,Retained earnings
29/12/2014,00020,8877.167947,YE trial balance co 1,Sales stream 5,Revenue
29/12/2014,00021,6233.591119,YE trial balance co 1,Sales stream 6,Revenue
29/12/2014,00022,3258.82416,YE trial balance co 1,Sales stream 7,Revenue
29/12/2014,00023,8620.937626,YE trial balance co 1,Sales stream 8,Revenue
31/12/2014,00024,8440.046494,YE trial balance co 1,Sales stream 9,Revenue
31/12/2014,00025,5108.680704,YE trial balance co 1,Sales stream 10,Revenue
29/12/2014,00026,8396.286085,YE trial balance co 1,Sales stream 11,Revenue
29/12/2014,00027,4342.621454,YE trial balance co 1,Advertising,Other expenses
29/12/2014,00028,66.2970614,YE trial balance co 1,Directors salaries,Administrative expenses
29/12/2014,00029,3558.527162,YE trial balance co 1,Casual labour,Distribution expenses
29/12/2014,00030,5000.040251,YE trial balance co 1,Client disbursements,Other expenses
29/12/2014,00031,7723.094226,YE trial balance co 1,Recruitment expenses,Assets in disposal groups classified as held for sale
29/12/2014,00032,5475.699775,YE trial balance co 1,Rent,Administrative expenses
29/12/2014,00033,3551.475117,YE trial balance co 1,Electricty,Administrative expenses
29/12/2014,00034,8844.865837,YE trial balance co 1,Misc Motor expenses,Administrative expenses
29/12/2014,00035,1276.956081,YE trial balance co 1,Travel,Administrative expenses
29/12/2014,00036,4342.621454,YE trial balance co 1,Audit and accounting fees,Other expenses
29/12/2014,00037,66.2970614,YE trial balance co 1,Professional Fees,Administrative expenses
29/12/2014,00038,3558.527162,YE trial balance co 1,Cleaning,Distribution expenses
29/12/2014,00039,5000.040251,YE trial balance co 1,Premises expenses,Other expenses
29/12/2014,00040,7723.094226,YE trial balance co 1,Training costs,Assets in disposal groups classified as held for sale
29/12/2014,00041,5475.699775,YE trial balance co 1,Insurance,Administrative expenses
29/12/2014,00042,3551.475117,YE trial balance co 1,Refreshments,Administrative expenses
29/12/2014,00043,8844.865837,YE trial balance co 1,Misc Motor expenses,Administrative expenses
29/12/2014,00044,1276.956081,YE trial balance co 1,Travel,Administrative expenses
29/12/2013,00010,6061.321027,Opening Balances co 1,Fixtures and Fittings - cost,"Property, plant and equipment"
29/12/2013,00011,5948.039832,Opening Balances co 1,Fixtures and Fittings - additions,"Property, plant and equipment"
