reporting month,TB code,amount,description,mi_tag,ifrstag
31/12/2014,00001,4696.690611,Sales stream 1,REGION_001,Sales
29/12/2014,00002,9667.011797,Sales stream 2,REGION_001,Sales
31/12/2014,00003,8734.446753,Sales stream 3,REGION_001,Sales
29/12/2014,00004,2146.316367,Sales stream 4,REGION_001,Sales
29/12/2014,00005,1602.438244,Sales stream 5,REGION_001,Sales
29/12/2014,00006,6721.907283,Sales stream 6,REGION_002,Sales
29/12/2014,00007,1084.277692,Sales stream 7,REGION_002,Sales
29/12/2014,00008,6061.321027,Sales stream 8,REGION_002,Sales
29/12/2014,00009,5948.039832,Sales stream 9,REGION_002,Sales
29/12/2014,00010,1068.794228,Sales stream 10,REGION_002,Sales
29/12/2014,00011,5767.645916,Sales stream 11,REGION_003,Sales
31/12/2014,00012,6975.98303,Sales stream 12,REGION_003,Sales
31/12/2014,00013,2981.57352,Sales stream 13,REGION_003,Sales
31/12/2014,00014,566.5755648,Sales stream 14,REGION_003,Sales
31/12/2014,00015,6464.662154,Sales stream 15,REGION_003,Sales
31/12/2014,00016,6985.126243,Sales stream 16,REGION_003,Sales
31/12/2014,00017,1740.605874,Sales stream 17,REGION_003,Sales
31/12/2014,00018,6169.377489,Sales stream 18,REGION_003,Sales
31/12/2014,00019,7476.776825,Sales stream 19,REGION_003,Sales
29/12/2014,00020,8877.167947,Sales stream 20,REGION_003,Sales
29/12/2014,00021,6233.591119,Sales stream 21,REGION_003,Sales
29/12/2014,00022,3258.82416,Sales stream 22,REGION_003,Sales
29/12/2014,00023,8620.937626,Sales stream 23,REGION_003,Sales
31/12/2014,00024,8440.046494,Sales stream 1,REGION_001,Sales
31/12/2014,00025,5108.680704,Sales stream 2,REGION_001,Sales
29/12/2014,00026,8396.286085,Sales stream 3,REGION_001,Sales
29/12/2014,00027,4342.621454,Sales stream 4,REGION_001,Sales
29/12/2014,00028,66.2970614,Sales stream 5,REGION_001,Sales
29/12/2014,00029,3558.527162,Sales stream 6,REGION_002,Sales
29/12/2014,00030,5000.040251,Sales stream 7,REGION_002,Sales
29/12/2014,00031,7723.094226,Sales stream 8,REGION_002,Sales
29/12/2014,00032,5475.699775,Sales stream 9,REGION_002,Sales
29/12/2014,00033,3551.475117,Sales stream 10,REGION_002,Sales
29/12/2014,00034,8844.865837,Sales stream 11,REGION_003,Sales
29/12/2014,00035,1276.956081,Sales stream 12,REGION_003,Sales
29/12/2014,00036,8547.746785,Sales stream 13,REGION_003,Sales
29/12/2014,00037,6731.486682,Sales stream 14,REGION_003,Sales
29/12/2014,00038,5736.67437,Sales stream 15,REGION_003,Sales
29/12/2014,00039,4219.231959,Sales stream 16,REGION_003,Sales
29/12/2014,00040,1492.505394,Sales stream 17,REGION_003,Sales
29/12/2014,00041,4143.597964,Sales stream 18,REGION_003,Sales
29/12/2014,00042,9232.356471,Sales stream 19,REGION_003,Sales
29/12/2014,00043,226.9698311,Sales stream 20,REGION_003,Sales
29/12/2014,00044,8887.282833,Sales stream 21,REGION_003,Sales
29/12/2014,00045,8318.663454,Sales stream 22,REGION_003,Sales
29/12/2014,00046,5855.095054,Sales stream 23,REGION_003,Sales
