reporting month,GL code,description,amount,ifrstag
1/12/2014,110100000,Cash,122.34,Cash and cash equivalents
1/12/2014,110300000,Reserve Account Balance,810.12,Cash and cash equivalents
1/12/2014,120101000,Nostro,810.12,Cash and cash equivalents
1/12/2014,120102000,MM Call loans - Banks,810.12,Cash and cash equivalents
1/12/2014,120103000,Cash cover placements,1123.24,Cash and cash equivalents
1/12/2014,120201000,MM Term Loans - Banks,1123.24,Cash and cash equivalents
1/12/2014,120202000,CD - Purchased,1123.24,Cash and cash equivalents
1/12/2014,120301000,Reverse Repo Asset,810.12,Cash and cash equivalents
1/12/2014,130101000,Overdrawn C/A - Personal,810.12,Cash and cash equivalents
1/12/2014,130102000,Overdrawn C/A - Non-Personal,122.34,Cash and cash equivalents
1/12/2014,130109999,IA Provision - Overdrafts,122.34,Cash and cash equivalents
1/12/2014,130201000,Charge Card Account - Personal,122.34,Cash and cash equivalents
1/12/2014,130202000,Charge Card Account - Non-Personal,122.34,Cash and cash equivalents
1/12/2014,130209999,IA Provision - Charge Card Account,122.34,Cash and cash equivalents
1/12/2014,130301010,Unregulated Term Loan - Personal,122.34,Cash and cash equivalents
1/12/2014,130301020,Unregulated Term Loan - Non-Personal,122.34,Cash and cash equivalents
1/12/2014,130302010,CCA Term Loan - Personal,122.34,Cash and cash equivalents
1/12/2014,130302020,CCA Term Loan - Non-Personal,122.34,Cash and cash equivalents
1/12/2014,130303010,MCOB Term Loan - Personal,122.34,Cash and cash equivalents
1/12/2014,130303020,MCOB Term Loan - Non-Personal,122.34,Cash and cash equivalents
1/12/2014,130309999,IA Provision - Term Loans,122.34,Cash and cash equivalents
1/12/2014,130401000,MCOB Mortgages - Personal,122.34,Cash and cash equivalents
1/12/2014,130402000,MCOB Mortgages - Non-Personal,122.34,Cash and cash equivalents
1/12/2014,130409999,IA Provision - Mortgages,122.34,Cash and cash equivalents
1/12/2014,130501000,Unregulated Bridging Loan - Personal,122.34,Cash and cash equivalents
1/12/2014,130502000,Unregulated Bridging Loan - Non-Personal,122.34,Cash and cash equivalents
1/12/2014,130503000,CCA Bridging Loan - Personal,810.12,Cash and cash equivalents
1/12/2014,130504000,CCA Bridging Loan - Non-Personal,810.12,Trade and other receivables
1/12/2014,130505000,MCOB Bridging Loan - Personal,810.12,Available-for-sale investments
1/12/2014,130506000,MCOB Bridging Loan - Non-Personal,810.12,Derivative financial assets
1/12/2014,130509999,IA Provision - Bridging Loan,810.12,Cash and cash equivalents
1/12/2014,140101000,T-Bill Purchased,810.12,Cash and cash equivalents
1/12/2014,140102000,T-Bill Premium / Discount,122.34,Cash and cash equivalents
1/12/2014,140103000,T-Bill Acquired Interest,122.34,Cash and cash equivalents
1/12/2014,140104000,AFS MTM - T-Bill,122.34,Cash and cash equivalents
1/12/2014,140301000,Gilt Purchased,122.34,Investments in equity-accounted associates
1/12/2014,140302000,Gilt Premium / Discount,122.34,Investments in equity-accounted joint ventures
1/12/2014,140303000,Gilt Acquired Interest,122.34,Available-for-sale investments
1/12/2014,140304000,AFS MTM - Gilts,122.34,Derivative financial assets
1/12/2014,140401000,Floating Rate Note Purchased,122.34,Other receivables
1/12/2014,140402000,FRN Premium / Discount,122.34,Deferred tax assets
1/12/2014,140403000,FRN Acquired Interest,122.34,Trade and other payables
1/12/2014,140404000,AFS MTM - FRN,122.34,Loans and borrowings
1/12/2014,150100000,Goodwill,122.34,Derivative financial liabilities
1/12/2014,150201000,Computer Software - Cost,122.34,Income Tax Payable
1/12/2014,150202000,Computer Software - Acc Dep,122.34,Employee benefit liabilities
1/12/2014,160101000,Freehold and long-leasehold buildings - Cost,122.34,"Property, plant and equipment"
1/12/2014,160102000,Freehold and long-leasehold buildings - Acc Dep,810.12,"Property, plant and equipment"
1/12/2014,160201000,Fixtures and fittings - Cost,810.12,"Property, plant and equipment"
1/12/2014,160202000,Fixtures and fittings - Acc Dep,810.12,"Property, plant and equipment"
1/12/2014,160301000,Computer Equipment - Cost,810.12,"Property, plant and equipment"
1/12/2014,160302000,Computer Equipment - Acc Dep,810.12,"Property, plant and equipment"
1/12/2014,160401000,Furniture and Equipment - Cost,810.12,"Property, plant and equipment"
1/12/2014,160402000,Furniture and Equipment - Acc Dep,1123.24,"Property, plant and equipment"
1/12/2014,160501000,Arts Collection - Cost,1123.24,"Property, plant and equipment"
1/12/2014,160502000,Arts Collection - Acc Dep,1123.24,"Property, plant and equipment"
1/12/2014,170200000,Financial Assets - FX Forward,1123.24,"Property, plant and equipment"
1/12/2014,170300000,Financial Assets - IR Swap,1123.24,"Property, plant and equipment"
1/12/2014,170400000,Financial Assets - CC Swap,1123.24,"Property, plant and equipment"
1/12/2014,180101010,Nostro - Int Rec,1123.24,"Property, plant and equipment"
1/12/2014,180101020,MM Call loans - Banks - Int Rec,810.12,Trade and other receivables
1/12/2014,180101030,Cash Cover Placements - Int Rec,810.12,Trade and other receivables
1/12/2014,180102010,MM Term Loans - Banks - Int Rec,810.12,Trade and other receivables
1/12/2014,180102020,CD - Purchased - Int Rec,810.12,Trade and other receivables
1/12/2014,180103010,Reverse Repo - Int Rec,810.12,Trade and other receivables
1/12/2014,180104010,IR Swap - Int Rec,124.12,Trade and other receivables
1/12/2014,180201010,Overdrawn C/A - Personal - Int Rec,124,Trade and other receivables
1/12/2014,180201020,Overdrawn C/A - Non-Personal - Int Rec,1241.98,Trade and other receivables
1/12/2014,180202010,Charge Card Account - Personal - Int Rec,1241.98,Trade and other receivables
1/12/2014,180202020,Charge Card Account - Non-Personal - Int Rec,1241.98,Trade and other receivables
1/12/2014,180203011,Unregulated Term Loan - Personal - Int Rec,1241.98,Trade and other receivables
1/12/2014,180203012,Unregulated Term Loan - Non-Personal - Int Rec,1241.98,Trade and other receivables
1/12/2014,180203021,CCA Term Loan - Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180203022,CCA Term Loan - Non-Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180203031,MCOB Term Loan - Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180203032,MCOB Term Loan - Non-Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180204010,MCOB Mortgages - Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180204020,MCOB Mortgages - Non-Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180205010,Unregulated Bridging Loan - Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180205020,Unregulated Bridging Loan - Non-Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180205030,CCA Bridging Loan - Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180205040,CCA Bridging Loan - Non-Personal - Int Rec,1123.24,Trade and other receivables
1/12/2014,180205050,MCOB Bridging Loan - Personal - Int Rec,1241.98,Trade and other receivables
1/12/2014,180205060,MCOB Bridging Loan - Non-Personal - Int Rec,1241.98,Trade and other receivables
1/12/2014,180209010,Prenotified Interest - Overdrawn C/A,1241.98,Trade and other receivables
1/12/2014,180501000,T-Bill Purchased - Int Rec,1241.98,Trade and other receivables
1/12/2014,180503000,Gilt Purchased - Int Rec,1241.98,Trade and other receivables
1/12/2014,180504000,FRN Purchased - Int Rec,1241.98,Trade and other receivables
1/12/2014,190100000,Cheques sent on Collection,1241.98,Trade and other receivables
1/12/2014,190201000,Prepaid Expenses,12.45,Trade and other receivables
1/12/2014,190202000,Accrued Income,12.45,Trade and other receivables
1/12/2014,190203000,Prenotified Charges,12.45,Trade and other receivables
1/12/2014,190301000,HMRC Guarantee Fee Receivable,12.45,Trade and other receivables
1/12/2014,190302000,Other Guarantee Fee Receivable,12.45,Trade and other receivables
1/12/2014,190401000,VAT Recoverable,12.45,Trade and other receivables
1/12/2014,190402000,VAT Payable,1123.24,Trade and other receivables
1/12/2014,190403000,VAT Accrual,1123.24,Trade and other receivables
1/12/2014,190500000,Deferred Tax Asset,1123.24,Trade and other receivables
1/12/2014,190601000,Suspense re ATM Transactions,1123.24,Trade and other receivables
1/12/2014,190602000,Suspense re Int. Paid in Advance,1123.24,Trade and other receivables
1/12/2014,190603000,Extra suspense a/c for Losses,1123.24,Trade and other receivables
1/12/2014,190604000,FX Netting Suspense,12.43,Trade and other receivables
1/12/2014,190606000,Purchase Ledger Suspense,12.44,Trade and other receivables
1/12/2014,190607000,Purchase of Securities Suspense,124.55,Trade and other receivables
1/12/2014,190608000,Direct Debit Suspense,124.1,Trade and other receivables
1/12/2014,190609000,Bank Giro Suspense,810.12,Trade and other receivables
1/12/2014,190610000,Standing Order Suspense,810.12,Trade and other receivables
1/12/2014,190800000,Funds Transfer Intermediate Suspense,555.23,Trade and other receivables
1/12/2014,199999993,IR Swap Settlement Bridge,555.23,Trade and other receivables
1/12/2014,199999994,Internal Account Setup,555.23,Trade and other receivables
1/12/2014,199999995,Loan Settlement Bridge,555.23,Trade and other receivables
1/12/2014,199999996,Direct Debit Intermediate Suspense,555.23,Trade and other receivables
1/12/2014,199999997,Securities Settlement Bridge,555.23,Trade and other receivables
1/12/2014,199999998,CD - Investigation Required,555.23,Trade and other receivables
1/12/2014,199999999,EoD Error Suspense,555.23,Trade and other receivables
1/12/2014,210101000,Over Drawn Nostro Accounts,555.23,Trade and other receivables
1/12/2014,210102000,MM Call Deposits - Banks,555.23,Trade and other receivables
1/12/2014,210103000,Cash Cover Account - Banks,555.23,Trade and other receivables
1/12/2014,210201000,MM Term Deposits - Banks,555.23,Trade and other receivables
1/12/2014,210301000,Repo Deposit,555.23,Trade and other receivables
1/12/2014,220101010,Current Accounts - Personal,555.23,Trade and other receivables
1/12/2014,220101020,Current Accounts - Non-Personal,1123.24,Trade and other receivables
1/12/2014,220102010,Call Accounts - Personal,1123.24,Trade and other receivables
1/12/2014,220102020,Call Accounts - Non-Personal,1123.24,Trade and other receivables
1/12/2014,220102030,MM Call Deposits - Non-Personal,1123.24,Trade and other receivables
1/12/2014,220102040,Cash ISA - Personal,810.12,Trade and other receivables
1/12/2014,220201010,90 Day Notice - Personal,810.12,Trade and other receivables
1/12/2014,220202010,90 Day Notice - Non-Personal,810.12,Trade and other receivables
1/12/2014,220301000,Term Deposits - Personal,810.12,Trade and other receivables
1/12/2014,220302000,Term Deposits - Non-Personal,810.12,Trade and other receivables
1/12/2014,220304000,MM Term Deposits - Non-Personal,810.12,Trade and other receivables
1/12/2014,230200000,Financial Liability - FX Forward,810.12,Trade and other receivables
1/12/2014,230300000,Financial Liability - IR Swap,810.12,Trade and other receivables
1/12/2014,230400000,Financial Liability - CC Swap,810.12,Trade and other payables
1/12/2014,240101010,O/D Nostro Accs - Int Pay,1123.24,Trade and other payables
1/12/2014,240101020,MM Call Deposits - Banks - Int Pay,1123.24,Trade and other payables
1/12/2014,240101030,Cash Cover Accs - Banks - Int Pay,1123.24,Trade and other payables
1/12/2014,240102010,MM Term Deposits - Banks - Int Pay,1123.24,Trade and other payables
1/12/2014,240103010,Repo Deposit - Int Pay,1123.24,Trade and other payables
1/12/2014,240104010,IR Swap - Int Pay,1123.24,Trade and other payables
1/12/2014,240201011,Current Accs - Personal - Int Pay,1123.24,Trade and other payables
1/12/2014,240201012,Current Accs - Non-Personal - Int Pay,1123.24,Trade and other payables
1/12/2014,240201021,Call Accs - Personal - Int Pay,1123.24,Trade and other payables
1/12/2014,240201022,Call Accs - Non-Personal - Int Pay,1123.24,Trade and other payables
1/12/2014,240201023,MM Call Deposits - Non-Personal - Int Pay,1123.24,Trade and other payables
1/12/2014,240201024,Cash ISA - Personal - Int Pay,122.34,Trade and other payables
1/12/2014,240202011,90 Day Notice - Personal - Int Pay,122.34,Trade and other payables
1/12/2014,240202021,90 Day Notice - Non-Personal - Int Pay,122.34,Trade and other payables
1/12/2014,240203010,Term Deposits - Personal - Int Pay,122.34,Trade and other payables
1/12/2014,240203020,Term Deposits - Non-Personal - Int Pay,122.34,Trade and other payables
1/12/2014,240203040,MM Term Deposits - Non-Personal - Int Pay,122.34,Trade and other payables
1/12/2014,250100000,Collective Provision,122.34,Trade and other payables
1/12/2014,260101000,Credits Awaiting Settlement,122.34,Trade and other payables
1/12/2014,260102000,Automated Clearing,122.34,Trade and other payables
1/12/2014,260103000,Suspense re ATM transactions,122.34,Trade and other payables
1/12/2014,260104000,Suspense re MASTERCARD transactions,122.34,Trade and other payables
1/12/2014,260201010,Staff Expense Accrual,124,Trade and other payables
1/12/2014,260201020,Admin Expense Accrual,124,Trade and other payables
1/12/2014,260202010,Deferred Overdraft Fees,142,Trade and other payables
1/12/2014,260202020,Deferred Term Loan Fees,124,Trade and other payables
1/12/2014,260202030,Deferred Mortgage Fees,124,Trade and other payables
1/12/2014,260202040,Deferred Bridging Loan Fees,124,Trade and other payables
1/12/2014,260203010,Deferred fees - HMRC Guarantees,124,Trade and other payables
1/12/2014,260203020,Deferred fees - Other Guarantees,124,Trade and other payables
1/12/2014,260204010,Deferred IR Swaps Income,124,Trade and other payables
1/12/2014,260205010,Prenotified Charges,124,Trade and other payables
1/12/2014,260301000,Corporation Tax,124,Trade and other payables
1/12/2014,260302000,VAT Payable,124,Trade and other payables
1/12/2014,260303000,Client Tax due to HMRC,124,Trade and other payables
1/12/2014,260400000,Unrealized FX Forward,124,Trade and other payables
1/12/2014,260501000,Dormant Account Balances,124,Trade and other payables
1/12/2014,260502000,Unclaimed Balances,124,Trade and other payables
1/12/2014,260503000,Cash Shortages/Overs Manual Posting,124,Trade and other payables
1/12/2014,260601000,Interest in suspense - Overdrafts,124,Trade and other payables
1/12/2014,260602000,Interest in suspense - Charge Card Account,555.23,Trade and other payables
1/12/2014,260603000,Interest in suspense - Term Loans,555.23,Trade and other payables
1/12/2014,260604000,Interest in suspense - Mortgages,555.23,Trade and other payables
1/12/2014,260605000,Interest in suspense - Bridging Loan,555.23,Trade and other payables
