reporting month,GL code,description,amount,ifrstag
1/12/2013,110100000,Cash,122.34,Cash and cash equivalents
1/12/2013,110300000,Reserve Account Balance,810.12,Cash and cash equivalents
1/12/2013,120101000,Nostro,810.12,Cash and cash equivalents
1/12/2013,120102000,MM Call loans - Banks,810.12,Cash and cash equivalents
1/12/2013,120103000,Cash cover placements,1123.24,Cash and cash equivalents
1/12/2013,120201000,MM Term Loans - Banks,1123.24,Cash and cash equivalents
1/12/2013,120202000,CD - Purchased,1123.24,Cash and cash equivalents
1/12/2013,120301000,Reverse Repo Asset,810.12,Cash and cash equivalents
1/12/2013,130101000,Overdrawn C/A - Personal,810.12,Cash and cash equivalents
1/12/2013,130102000,Overdrawn C/A - Non-Personal,122.34,Cash and cash equivalents
1/12/2013,130109999,IA Provision - Overdrafts,122.34,Cash and cash equivalents
1/12/2013,130201000,Charge Card Account - Personal,122.34,Cash and cash equivalents
1/12/2013,130202000,Charge Card Account - Non-Personal,122.34,Cash and cash equivalents
1/12/2013,130209999,IA Provision - Charge Card Account,122.34,Cash and cash equivalents
1/12/2013,130301010,Unregulated Term Loan - Personal,122.34,Cash and cash equivalents
1/12/2013,130301020,Unregulated Term Loan - Non-Personal,122.34,Cash and cash equivalents
1/12/2013,130302010,CCA Term Loan - Personal,122.34,Cash and cash equivalents
1/12/2013,130302020,CCA Term Loan - Non-Personal,122.34,Cash and cash equivalents
1/12/2013,130303010,MCOB Term Loan - Personal,122.34,Cash and cash equivalents
1/12/2013,130303020,MCOB Term Loan - Non-Personal,122.34,Cash and cash equivalents
1/12/2013,130309999,IA Provision - Term Loans,122.34,Cash and cash equivalents
1/12/2013,130401000,MCOB Mortgages - Personal,122.34,Cash and cash equivalents
1/12/2013,130402000,MCOB Mortgages - Non-Personal,122.34,Cash and cash equivalents
1/12/2013,130409999,IA Provision - Mortgages,122.34,Cash and cash equivalents
1/12/2013,130501000,Unregulated Bridging Loan - Personal,122.34,Cash and cash equivalents
1/12/2013,130502000,Unregulated Bridging Loan - Non-Personal,122.34,Cash and cash equivalents
1/12/2013,130503000,CCA Bridging Loan - Personal,810.12,Cash and cash equivalents
1/12/2013,130504000,CCA Bridging Loan - Non-Personal,810.12,Trade and other receivables
1/12/2013,130505000,MCOB Bridging Loan - Personal,810.12,Available-for-sale investments
1/12/2013,130506000,MCOB Bridging Loan - Non-Personal,810.12,Derivative financial assets
1/12/2013,130509999,IA Provision - Bridging Loan,810.12,Cash and cash equivalents
1/12/2013,140101000,T-Bill Purchased,810.12,Cash and cash equivalents
1/12/2013,140102000,T-Bill Premium / Discount,122.34,Cash and cash equivalents
1/12/2013,140103000,T-Bill Acquired Interest,122.34,Cash and cash equivalents
1/12/2013,140104000,AFS MTM - T-Bill,122.34,Cash and cash equivalents
1/12/2013,140301000,Gilt Purchased,122.34,Investments in equity-accounted associates
1/12/2013,140302000,Gilt Premium / Discount,122.34,Investments in equity-accounted joint ventures
1/12/2013,140303000,Gilt Acquired Interest,122.34,Available-for-sale investments
1/12/2013,140304000,AFS MTM - Gilts,122.34,Derivative financial assets
1/12/2013,140401000,Floating Rate Note Purchased,122.34,Other receivables
1/12/2013,140402000,FRN Premium / Discount,122.34,Deferred tax assets
1/12/2013,140403000,FRN Acquired Interest,122.34,Trade and other payables
1/12/2013,140404000,AFS MTM - FRN,122.34,Loans and borrowings
1/12/2013,150100000,Goodwill,122.34,Derivative financial liabilities
1/12/2013,150201000,Computer Software - Cost,122.34,Income Tax Payable
1/12/2013,150202000,Computer Software - Acc Dep,122.34,Employee benefit liabilities
1/12/2013,160101000,Freehold and long-leasehold buildings - Cost,122.34,"Property, plant and equipment"
1/12/2013,160102000,Freehold and long-leasehold buildings - Acc Dep,810.12,"Property, plant and equipment"
1/12/2013,160201000,Fixtures and fittings - Cost,810.12,"Property, plant and equipment"
1/12/2013,160202000,Fixtures and fittings - Acc Dep,810.12,"Property, plant and equipment"
1/12/2013,160301000,Computer Equipment - Cost,810.12,"Property, plant and equipment"
1/12/2013,160302000,Computer Equipment - Acc Dep,810.12,"Property, plant and equipment"
1/12/2013,160401000,Furniture and Equipment - Cost,810.12,"Property, plant and equipment"
1/12/2013,160402000,Furniture and Equipment - Acc Dep,1123.24,"Property, plant and equipment"
1/12/2013,160501000,Arts Collection - Cost,1123.24,"Property, plant and equipment"
1/12/2013,160502000,Arts Collection - Acc Dep,1123.24,"Property, plant and equipment"
1/12/2013,170200000,Financial Assets - FX Forward,1123.24,"Property, plant and equipment"
1/12/2013,170300000,Financial Assets - IR Swap,1123.24,"Property, plant and equipment"
1/12/2013,170400000,Financial Assets - CC Swap,1123.24,"Property, plant and equipment"
1/12/2013,180101010,Nostro - Int Rec,1123.24,"Property, plant and equipment"
1/12/2013,180101020,MM Call loans - Banks - Int Rec,810.12,Trade and other receivables
1/12/2013,180101030,Cash Cover Placements - Int Rec,810.12,Trade and other receivables
1/12/2013,180102010,MM Term Loans - Banks - Int Rec,810.12,Trade and other receivables
1/12/2013,180102020,CD - Purchased - Int Rec,810.12,Trade and other receivables
1/12/2013,180103010,Reverse Repo - Int Rec,810.12,Trade and other receivables
1/12/2013,180104010,IR Swap - Int Rec,124.12,Trade and other receivables
1/12/2013,180201010,Overdrawn C/A - Personal - Int Rec,124,Trade and other receivables
